zip檔名	拍數	累積拍數	經名	山圖號
0001-242閏02	31	6355	大般若波羅蜜多經六百卷（242）	11749811
0001-243閏03	32	6387	大般若波羅蜜多經六百卷（243）	11749911
0001-244閏04	35	6422	大般若波羅蜜多經六百卷（244）	11750011
0001-245閏05	33	6455	大般若波羅蜜多經六百卷（245）	11750111
0001-246閏06	30	6485	大般若波羅蜜多經六百卷（246）	11750211
0001-247閏07	32	6517	大般若波羅蜜多經六百卷（247）	11750311
0001-248閏08	30	6547	大般若波羅蜜多經六百卷（248）	11750411
0001-249閏09	32	6579	大般若波羅蜜多經六百卷（249）	11750511
0001-250閏10	33	6612	大般若波羅蜜多經六百卷（250）	11750611
0001-251餘01	38	6650	大般若波羅蜜多經六百卷（251）	11750711
0001-252餘02	34	6684	大般若波羅蜜多經六百卷（252）	11750811
0001-253餘03	32	6716	大般若波羅蜜多經六百卷（253）	11750911
0001-254餘04	33	6749	大般若波羅蜜多經六百卷（254）	11751011
0001-255餘05	32	6781	大般若波羅蜜多經六百卷（255）	11751111
0001-256餘06	30	6811	大般若波羅蜜多經六百卷（256）	11751211
0001-257餘07	31	6842	大般若波羅蜜多經六百卷（257）	11751311
0001-258餘08	32	6874	大般若波羅蜜多經六百卷（258）	11751411
0001-259餘09	32	6906	大般若波羅蜜多經六百卷（259）	11751511
0001-260餘10	34	6940	大般若波羅蜜多經六百卷（260）	11751611
0001-261成01	34	6974	大般若波羅蜜多經六百卷（261）	11751711
0001-262成02		6974	大般若波羅蜜多經六百卷（262）	11751811
0001-263成03	33	7007	大般若波羅蜜多經六百卷（263）	11751911
0001-264成04		7007	大般若波羅蜜多經六百卷（264）	11752011
0001-265成05		7007	大般若波羅蜜多經六百卷（265）	11752111
0001-266成06	35	7042	大般若波羅蜜多經六百卷（266）	11752211
0001-267成07	31	7073	大般若波羅蜜多經六百卷（267）	11752311
